Country,Old_Tariff_Rate,New_Tarriff_Rate,Share_US_Import
European_Union,20,10,18.5
China,34,145,13.4
Japan,24,10,4.5
Vietnam,46,10,4.2
South Korea,25,10,4
Taiwan,32,10,3.6
India,26,10,2.7
UK,10,10,2.1
Switzerland,31,10,1.9
Thailand,36,10,1.9
Malaysia,24,10,1.6
Brazil,10,10,1.3
Singapore,10,10,1.3
Afghanistan,10,10,1
Algeria,30,10,1
Angola,32,10,1
Argentina,10,10,1
Australia,10,10,1
Bangladesh,37,10,1
Bosnia_&_Herzegovina,35,10,1
Botswana,37,10,1
Brunei,24,10,1
Cambodia,49,10,1
Cameroon,11,10,1
Chad,13,10,1
Chile ,10,10,1
Colombia,10,10,1
Cote_d'Ivoire,21,10,1
Egypt ,10,10,1
Ecuador,10,10,1
Dominican Republic,10,10,1
El Salvador,10,10,1
Falkland_Islands,41,10,1
Fiji,32,10,1
Guyana,38,10,1
Indonesia,32,10,1
Iceland ,10,10,1
Iran,10,10,1
Iraq,30,10,1
Israel,17,10,1
Jordan,20,10,1
Kazakhstan,27,10,1
Laos,48,10,1
Lesotho,50,10,1
Serbia,37,10,1
Philippines,17,10,1
Pakistan,29,10,1
Norway,15,10,1
North_Macdeonia,33,10,1
Nigeria,14,10,1
Nicaragua,18,10,1
Nauru,30,10,1
Namibia,21,10,1
Myanmar,44,10,1
Mozambique,16,10,1
Moldova,31,10,1
Mauritius,40,10,1
Malawi,17,10,1
Madagscar,47,10,1
Liechtenstein,37,10,1
Libya,31,10,1
South_Africa,30,10,1
Sri_Lanka,44,10,1
Syria,41,10,1
Tunisia,28,10,1
Vanuatu,22,10,1
Venezuela,15,10,1
Zambia,17,10,1
Zimbabwe,18,10,1
